(e/255)epsilon	(a/255)alpha	s	noAt acc	attack acc	noAt loss	attack loss
4/255=0.015686	32/255=0.125490	10	0.924000	0.170000	0.004474	0.123059
4/255=0.015686	64/255=0.250980	10	0.924000	0.170500	0.004474	0.123173
8/255=0.031373	1/255=0.003922	10	0.924000	0.646000	0.004474	0.026416
8/255=0.031373	2/255=0.007843	10	0.924000	0.384500	0.004474	0.061735
8/255=0.031373	4/255=0.015686	10	0.924000	0.169000	0.004474	0.123180
8/255=0.031373	8/255=0.031373	10	0.924000	0.062000	0.004474	0.206799
8/255=0.031373	16/255=0.062745	10	0.924000	0.063000	0.004474	0.206814
8/255=0.031373	32/255=0.125490	10	0.924000	0.062000	0.004474	0.206907
8/255=0.031373	64/255=0.250980	10	0.924000	0.061500	0.004474	0.206696
16/255=0.062745	1/255=0.003922	10	0.924000	0.645500	0.004474	0.026414
16/255=0.062745	2/255=0.007843	10	0.924000	0.384500	0.004474	0.061683
16/255=0.062745	4/255=0.015686	10	0.924000	0.170500	0.004474	0.123080
16/255=0.062745	8/255=0.031373	10	0.924000	0.063000	0.004474	0.206536
16/255=0.062745	16/255=0.062745	10	0.924000	0.024500	0.004474	0.281582
16/255=0.062745	32/255=0.125490	10	0.924000	0.026000	0.004474	0.281506
16/255=0.062745	64/255=0.250980	10	0.924000	0.025500	0.004474	0.281675
32/255=0.125490	1/255=0.003922	10	0.924000	0.645500	0.004474	0.026409
32/255=0.125490	2/255=0.007843	10	0.924000	0.383500	0.004474	0.061707
32/255=0.125490	4/255=0.015686	10	0.924000	0.169000	0.004474	0.123050
32/255=0.125490	8/255=0.031373	10	0.924000	0.063000	0.004474	0.206764
32/255=0.125490	16/255=0.062745	10	0.924000	0.025000	0.004474	0.281352
32/255=0.125490	32/255=0.125490	10	0.924000	0.010000	0.004474	0.371255
32/255=0.125490	64/255=0.250980	10	0.924000	0.010500	0.004474	0.370830
64/255=0.250980	1/255=0.003922	10	0.924000	0.646000	0.004474	0.026412
64/255=0.250980	2/255=0.007843	10	0.924000	0.384500	0.004474	0.061705
64/255=0.250980	4/255=0.015686	10	0.924000	0.169000	0.004474	0.123073
64/255=0.250980	8/255=0.031373	10	0.924000	0.061500	0.004474	0.206717
64/255=0.250980	16/255=0.062745	10	0.924000	0.025500	0.004474	0.281593
64/255=0.250980	32/255=0.125490	10	0.924000	0.010000	0.004474	0.370503
64/255=0.250980	64/255=0.250980	10	0.924000	0.005500	0.004474	0.406959
